audit_type,area,program,q_id,seq,qtype,question_text,default_answer,autonomy,look_for,notes
NPO,OL,AUD-811,OL_TQ_TAILORING_PayrollTaxMaterial,3,tailoring,Are accrued payroll and payroll taxes material to the overall financial statements?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_PayrollTaxSpecRisks,4,tailoring,Have specific risks been identified associated with account balances for accrued payroll and payroll taxes?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_CompAbsenceMaterial,5,tailoring,Are the accruals for compensated absences material to the overall financial statements?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_CompAbsenceSpecRisks,6,tailoring,Have specific risks been identified associated with account balances of accruals for compensated absences?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_CompAbsenceShortTerm,7,tailoring,Does the entity offer short term compensated absences benefits to its employees?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_EBPAccrualsBalMaterial,8,tailoring,Are the accruals for employee benefit plans balances material to the overall financial statements?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_EBPAccrualsSpecRisks,9,tailoring,Have specific risks been identified associated with the account balances for accruals for employee benefit plans?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_LongTermEB,10,tailoring,"Does the entity provide other long-term employee benefits (e.g., long-term compensated absences, sabbatical leave, long-term disability benefits, deferred compensation, etc.)?",,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_DefCompBalMaterial,11,tailoring,Do deferred compensation agreements exist and are balances material to the overall financial statements?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_DefCompSpecRisks,12,tailoring,Have specific risks been identified associated with account balances of accruals for deferred compensation?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_PostEmpBen,13,tailoring,"Are postemployment benefits (e.g., salary continuation, severance benefits, disability and health care benefits, and job training and counseling) provided by the entity and are acc",,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_RisksPostEmp,14,tailoring,Have specific risks been identified associated with account balances of accruals for postemployment benefits?,,,,
NPO,OL,AUD-811,OL_TQ_TAILORING_AnalyticalProcedures,15,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,INCTAX,AUD-812,INCTAX_TQ_TAILORING_DeferredTax,1,tailoring,Does the entity have any deferred tax provisions and related deferred tax assets or liabilities?,,,,
NPO,INCTAX,AUD-812,INCTAX_TQ_TAILORING_AppropDocumentation,2,tailoring,Was the entity's documentation not appropriate or did the entity restrict the auditor's access to documentation of the calculation or contents of the entity's income tax accruals o,,,,
NPO,INCTAX,AUD-812,INCTAX_TQ_TAILORING_AdditionalDisclosure,3,tailoring,Does the entity have any uncertain tax position for which additional disclosure or possible adjustment to the financial statements may be required?,,,,
NPO,INCTAX,AUD-812,INCTAX_TQ_TAILORING_AnalyticalProcedures,4,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_AnalyticalProcedures,1,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_MaturityDates,2,tailoring,Does the entity have any debt with maturity dates due within the next year?,,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_Covenants,3,tailoring,Does the entity have any debt obligations that contain restrictive covenants?,,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_Violations,4,tailoring,Did the auditor or management identify any covenant violations?,,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_DebtExtinquished,5,tailoring,Has the entity extinguished any debt instruments during the period under audit?,,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_TaxExemptFinancing,6,tailoring,Does the entity finance any part of its activities from the proceeds of tax-exempt bonds or other obligations issued through state or local financing authorities?,,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_Contributions,7,tailoring,Did the entity make any contributions?,,,,
NPO,DEBT,AUD-813,DEBT_TQ_TAILORING_PromiseToGive,8,tailoring,Does the entity have any unconditional promises to give (contributions payable)?,,,,
NPO,EQUITY,AUD-814,EQUITY_TQ_TAILORING_DonorRestrictions,1,tailoring,Does the entity have any net assets with donor restrictions?,,,,
NPO,EQUITY,AUD-814,EQUITY_TQ_TAILORING_AnalyticalProcedures,2,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,OTHREV,AUD-815,OTHREV_TQ_TAILORING_AnalyticalProcedures,1,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,OTHREV,AUD-815,OTHREV_TQ_TAILORING_ContributeFacilities,2,tailoring,Did the entity contribute the use of its facilities to another NFP?,,,,
NPO,OTHREV,AUD-815,OTHREV_TQ_TAILORING_ExpensesMaterial,3,tailoring,Are there expense accounts balances material to the overall financial statements?,,,,
NPO,OTHREV,AUD-815,OTHREV_TQ_TAILORING_ExpensesSpecRisk,4,tailoring,Have specific risks been identified associated with account balances for expenses?,,,,
NPO,OTHREV,AUD-815,OTHREV_TQ_TAILORING_FederalFundraising,5,tailoring,Is the entity a federated fund-raising entity?,,,,
NPO,RPTRNS2,AUD-817,RPTRNS2_TQ_RelatedPartyTrans,1,tailoring,Are there any related party transactions identified?,,,,
NPO,RPTRNS2,AUD-817,RPTRNS2_TQ_UnusualTrans,2,tailoring,Have we identified significant unusual transactions while performing applicable audit procedures?,,,,
NPO,RPTRNS2,AUD-817,RPTRNS2_TQ_RelatedPartyFS,3,tailoring,Have we identified related-party transactions that are required to be disclosed in the financial statements or are determined to be a significant risk?,,,,
NPO,RPTRNS2,AUD-817,RPTRNS2_TQ_AnalyticalProcedures,4,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,FAIRVALUE2,AUD-818,FairValue2_TQ_ThirdParty,1,tailoring,Did the entity retain the service of a third-party pricing agency?,,,,
NPO,FAIRVALUE2,AUD-818,FairValue2_TQ_SpecialistEstFV,2,tailoring,Was a specialist engaged to estimate fair value?,,,,
NPO,FAIRVALUE2,AUD-818,FairValue2_TQ_ImpendingTrans,3,tailoring,Does the entity plan to use an impending transaction as the basis for a fair value estimate?,,,,
NPO,FAIRVALUE2,AUD-818,FairValue2_TQ_FVMeasureDiffDate,4,tailoring,Was the fair value measurement made as of a date that is different from the date that the entity is required to measure and report that information in its financial statements?,,,,
NPO,FAIRVALUE2,AUD-818,FairValue2_TQ_CollateralImpFactor,5,tailoring,Is collateral an important factor in measuring the fair value of an investment or evaluating its carrying amount?,,,,
NPO,FAIRVALUE2,AUD-818,FairValue2_TQ_AnalyticalProcedures,6,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,COMMIT,AUD-819,COMMIT_TQ_AttorneyConsult,1,tailoring,"Has the auditor determined it necessary to obtain representation letters from the entity's legal counsel (e.g., external or in-house)?",,,,
NPO,COMMIT,AUD-819,COMMIT_TQ_AttorneyRestrict,2,tailoring,Did the entity's legal counsel restrict the use of his or her opinion to the client or to third parties other than the auditor?,,,,
NPO,COMMIT,AUD-819,COMMIT_TQ_EnvironmentalLiability,3,tailoring,Does the entity have any potential exposure to environmental liability risks?,,,,
NPO,COMMIT,AUD-819,COMMIT_TQ_PurchaseObligations,4,tailoring,Does the entity have unconditional purchase obligations or guarantees?,,,,
NPO,COMMIT,AUD-819,COMMIT_TQ_NewLitigation,5,tailoring,Did the entity's legal counsel identify new litigation or claims?,,,,
NPO,COMMIT,AUD-819,COMMIT_TQ_AnalyticalProcedures,6,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,CONCENT,AUD-821,CONCENT_TQ_AnalyticalProcedures,1,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
NPO,BUSINESS,AUD-822,BUSINESS_TQ_Combination,1,tailoring,Did the entity enter into any business combinations during the audit period?,,,,
NPO,BUSINESS,AUD-822,BUSINESS_TQ_AnalyticalProcedures,2,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
ALG,CASH,AUD-801,CASH_TQ_TAILORING_AnalyticalProcedures,1,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
ALG,CASH,AUD-801,CASH_TQ_TAILORING_OpenedClosed,2,tailoring,Were any accounts opened or closed during the period under audit?,,,,
ALG,CASH,AUD-801,CASH_TQ_TAILORING_Restricted,3,tailoring,"Were any accounts restricted by law, regulation, or contractual agreement?",,,,
ALG,CASH,AUD-801,CASH_TQ_TAILORING_Collateralized,4,tailoring,Are any cash accounts collateralized?,,,,
ALG,CASH,AUD-801,CASH_TQ_TAILORING_CutoffRequested,5,tailoring,Do we plan on requesting cutoff bank statements?,,,,
ALG,CASH,AUD-801,CASH_TQ_TAILORING_InterestBearing,6,tailoring,Does the entity have interest bearing cash accounts?,,,,
ALG,CASH,AUD-801,CASH_TQ_TAILORING_MultipleBanks,7,tailoring,Does the entity have cash accounts at more than one financial institution?,,,,
ALG,CASH,AUD-801,CASH_TQ_TAILORING_CutoffReceived,8,tailoring,Did we receive cutoff bank statements?,,,,
ALG,CASH,AUD-801,CASH_TQ_TAILORING_PettyCashMaterial,9,tailoring,Are petty cash balances or cumulative related petty cash transactions during the audit period material?,,,,
ALG,INVEST,AUD-802,INVEST_TQ_TAILORING_Digital,1,tailoring,Does the entity have investments in digital/crypto assets?,,,,
ALG,INVEST,AUD-802,INVEST_TQ_TAILORING_DigitalCrypto,2,tailoring,Does the entity have digital/crypto assets classified as “held to maturity”?,,,,
ALG,INVEST,AUD-802,INVEST_TQ_TAILORING_Securities,3,tailoring,"Does the entity have investments in securities subject to GASB-31, as amended by GASB-72 in this period or the prior period?",,,,
ALG,INVEST,AUD-802,INVEST_TQ_TAILORING_IndependentThird,4,tailoring,"Are any of the investments in securities subject to GASB-31, as amended by GASB-72 held by independent third parties?",,,,
ALG,INVEST,AUD-802,INVEST_TQ_TAILORING_ClientsInformation,5,tailoring,Has a service organization provided services that are a part of a client's information system?,,,,
ALG,INVEST,AUD-802,INVEST_TQ_TAILORING_Repos,6,tailoring,Does the entity have any repurchase or reverse repurchase agreements?,,,,
ALG,INVEST,AUD-802,INVEST_TQ_TAILORING_JntVentr,7,tailoring,Does the entity have any joint ventures or other equity method investments?,,,,
ALG,INVEST,AUD-802,INVEST_TQ_TAILORING_FinancialStatements,8,tailoring,Does the carrying amount of the security reflect factors that are not recognized in the investee's financial statements or fair values of assets that are materially different from the investee's carrying amounts?,,,,
ALG,INVEST,AUD-802,INVEST_TQ_TAILORING_DateOfEntity,9,tailoring,Is there a time lag between the date of the entity's financial statements and those of the investee (no more than three months)?,,,,
ALG,INVEST,AUD-802,INVEST_TQ_TAILORING_Transactions,10,tailoring,Are there subsequent events and transactions of the investee occurring after the date of the investee's financial statements but before the date of the investor auditor's report?,,,,
ALG,INVEST,AUD-802,INVEST_TQ_TAILORING_SecuritiesLending,11,tailoring,Did the entity have any securities lending transactions?,,,,
ALG,INVEST,AUD-802,INVEST_TQ_TAILORING_FairValue,12,tailoring,Are there investments in securities that are valued based on fair value?,,,,
ALG,INVEST,AUD-802,INVEST_TQ_TAILORING_InvBasedOnCost,13,tailoring,Are there investments in securities that are valued based on cost?,,,,
ALG,INVEST,AUD-802,INVEST_TQ_TAILORING_AssetBacked,14,tailoring,Does the entity have any investments in asset-backed securities?,,,,
ALG,INVEST,AUD-802,INVEST_TQ_TAILORING_Analytical,15,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
ALG,ERR,AUD-803,ERR_TQ_AnalyticalProcedures,1,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
ALG,ERR,AUD-803,ERR_TQ_FinancialStatements,2,tailoring,Do the financial statements include any exchange receivables?,,,,
ALG,ERR,AUD-803,ERR_TQ_ConfirmToBeSent,3,tailoring,Do we plan on confirming receivables?,,,,
ALG,ERR,AUD-803,ERR_TQ_ConfirmNotOnPeriodEnd,4,tailoring,Do we plan on confirming receivables on a date other than the financial statement date?,,,,
ALG,ERR,AUD-803,ERR_TQ_NotesReceivables,5,tailoring,Are notes receivable balances material to the overall financial statements or have specific risks been identified in notes receivable?,,,,
ALG,ERR,AUD-803,ERR_TQ_Fraud,6,tailoring,Was improper revenue recognition identified as a risk of material misstatement due to fraud?,,,,
ALG,ERR,AUD-803,ERR_TQ_PledgedReceivables,7,tailoring,"Are there any exchange revenue accounts or notes receivable balances that have been pledged, assigned, or discounted?",,,,
ALG,ERR,AUD-803,ERR_TQ_RelatedOrEmployees,8,tailoring,Does the entity have receivables from related parties or employees?,,,,
ALG,ERR,AUD-803,ERR_TQ_GreaterThanOneYear,9,tailoring,Does the entity have receivables with due dates greater than one year from the financial statement date?,,,,
ALG,ERR,AUD-803,ERR_TQ_Pledged,10,tailoring,Were any receivables or future revenues sold or pledged during the audit period?,,,,
ALG,NER,AUD-804,NER_TQ_AnalyticalProcedures,1,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
ALG,NER,AUD-804,NER_TQ_FinancialStatements,2,tailoring,Do the financial statements include any nonexchange receivables?,,,,
ALG,NER,AUD-804,NER_TQ_TAILORING_ConfirmToBeSent,3,tailoring,Do we plan on confirming receivables?,,,,
ALG,NER,AUD-804,NER_TQ_TAILORING_ConfirmNotOnPeriodEnd,4,tailoring,Do we plan on confirming receivables on a date other than the financial statement date?,,,,
ALG,NER,AUD-804,NER_TQ_TAILORING_NotesReceivables,5,tailoring,Are notes receivable balances material to the overall financial statements or have specific risks been identified in notes receivable?,,,,
ALG,NER,AUD-804,NER_TQ_TAILORING_ImproperRevenue,6,tailoring,Was improper revenue recognition identified as a risk of material misstatement due to fraud?,,,,
ALG,NER,AUD-804,NER_TQ_TAILORING_RelatedOrEmployees,7,tailoring,Does the entity have receivables from related parties or employees?,,,,
ALG,NER,AUD-804,NER_TQ_TAILORING_GreaterThanOneYear,8,tailoring,Does the entity have receivables with due dates greater than one year from the financial statement date?,,,,
ALG,NER,AUD-804,NER_TQ_TAILORING_Transferred,9,tailoring,Were any receivables or future revenues sold or pledged during the audit period?,,,,
ALG,NER,AUD-804,NER_TQ_TAILORING_DerivedTaxRev,10,tailoring,"Does the entity have derived tax revenues (e.g., sales taxes and income taxes)?",,,,
ALG,NER,AUD-804,NER_TQ_TAILORING_ImposedNonexchangeRev,11,tailoring,"Does the entity have imposed nonexchange revenues (e.g., property taxes, fines and forfeitures, special assessments, and escheats)?",,,,
ALG,NER,AUD-804,NER_TQ_TAILORING_Gov-ManNonexchangeRev,12,tailoring,"Does the entity have government mandated nonexchange revenues (e.g., restricted shared revenues, such as a shared motor fuel tax)?",,,,
ALG,NER,AUD-804,NER_TQ_TAILORING_VolNonexchangeRev,13,tailoring,"Does the entity have voluntary nonexchange revenues (e.g., grants, entitlements, and donations or contributions, including pledges)?",,,,
ALG,INVENTORY,AUD-805,INVENTORY_TQ_TAILORING_Observation,1,tailoring,Do we intend to perform an inventory observation?,,,,
ALG,INVENTORY,AUD-805,INVENTORY_TQ_TAILORING_InventorDiffDate,2,tailoring,Was the inventory observation completed on a date other than the financial statement date?,,,,
ALG,INVENTORY,AUD-805,INVENTORY_TQ_TAILORING_PerpetualInv,3,tailoring,Does the entity maintain a perpetual inventory record?,,,,
ALG,INVENTORY,AUD-805,INVENTORY_TQ_TAILORING_Analytical,4,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
ALG,INVENTORY,AUD-805,INVENTORY_TQ_TAILORING_FIFO,5,tailoring,Does the entity use FIFO as a valuation method?,,,,
ALG,INVENTORY,AUD-805,INVENTORY_TQ_TAILORING_CountInterm,6,tailoring,Does the entity perform the physical inventory count at an interim date?,,,,
ALG,INVENTORY,AUD-805,INVENTORY_TQ_TAILORING_OutsideInv,7,tailoring,Does entity have inventory at public warehouses or other outside locations?,,,,
ALG,INVENTORY,AUD-805,INVENTORY_TQ_TAILORING_InventPledge,8,tailoring,Did the client pledge any inventory during the current reporting period?,,,,
ALG,PP,AUD-806,PP_TQ_TAILORING_PPBalMaterial,1,tailoring,"Are account balances for prepaid expenses, deferred outflows of resources, or other assets material to the overall financial statements?",,,,
ALG,PP,AUD-806,PP_TQ_TAILORING_PPBalSpecRisk,2,tailoring,"Have specific risks been identified associated with account balances for prepaid expenses, deferred outflows of resources, or other assets?",,,,
ALG,PP,AUD-806,PP_TQ_TAILORING_InsuranceBalMaterial,3,tailoring,Is the prepaid insurance balance material to the overall financial statements?,,,,
ALG,PP,AUD-806,PP_TQ_TAILORING_PPDInsSpecRisk,4,tailoring,Have specific risks been identified associated with account balances for prepaid insurance?,,,,
ALG,PP,AUD-806,PP_TQ_TAILORING_OthPPBalMaterial,5,tailoring,"Are the other prepaid expenses, deferred outflows of resources, or other assets balance material to the overall financial statements?",,,,
ALG,PP,AUD-806,PP_TQ_TAILORING_OthPPBalSpecRisk,6,tailoring,"Have specific risks been identified associated with account balances for other prepaid expenses, deferred outflows of resources, or other assets?",,,,
ALG,PP,AUD-806,PP_TQ_TAILORING_MaterialDeposits,7,tailoring,Does the entity have material deposits or other similar assets?,,,,
ALG,PP,AUD-806,PP_TQ_TAILORING_AnalyticalProcedures,8,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_PPEBalMaterial,1,tailoring,Is the capital asset balance material to the overall financial statements?,,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_PPESpecRisks,2,tailoring,Have specific risks been identified associated with account balances for capital asset?,,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_DepMaterial,3,tailoring,Is the depreciation expense material to the overall financial statements?,,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_DepSpecRisks,4,tailoring,Have specific risks been identified associated with account balances for depreciations expense?,,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_Infrastructure,5,tailoring,Has the entity elected to use the modified approach for reporting infrastructure assets?,,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_RepMaintBalMaterial,6,tailoring,Is the repairs and maintenance balance material to the overall financial statements?,,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_RepMaintSpecRisks,7,tailoring,Have specific risks been identified associated with account balances for repairs and maintenance?,,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_Leases,8,tailoring,Does the entity have any leases?,,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_ServiceConcession,9,tailoring,Does the entity have Service Concession Arrangements?,,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_Impairement,10,tailoring,Does the entity have any long lived fixed assets that are classified as held for sale?,,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_LLARetire,11,tailoring,Does the entity have any obligations related to the retirement of long-lived assets?,,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_GovFundCapAssets,12,tailoring,Does the governmental funds have capital assets?,,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_Transfers,13,tailoring,Were any capital assets transferred within the reporting entity?,,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_Pollution,14,tailoring,Did the entity have any capital outlays related to pollution remediation?,,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_Intangible,15,tailoring,Does the entity have intangible assets?,,,,
ALG,PPE,AUD-807,PPE_TQ_TAILORING_AnalyticalProcedures,16,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
ALG,AP,AUD-808,AP_TQ_TAILORING_AnalyticalProcedures,1,tailoring,"Do you intend to use analytical procedures, either alone or in combination with tests of details, as a substantive procedure?",,,,
ALG,AP,AUD-808,AP_TQ_TAILORING_ConfirmAP,2,tailoring,Do we plan on confirming accounts payable?,,,,
ALG,AP,AUD-808,AP_TQ_TAILORING_SpecificTerms,3,tailoring,Does the client have any amounts included in trade accounts payable that have specified payment terms?,,,,
ALG,AP,AUD-808,AP_TQ_TAILORING_PledgedAP,4,tailoring,Does the client have any assets pledged as collateral for accounts payable?,,,,
ALG,AP,AUD-808,AP_TQ_TAILORING_AccruedLiab,5,tailoring,Are other accrued liabilities balances or transactions material to the overall financial statements?,,,,
ALG,AP,AUD-808,AP_TQ_TAILORING_RiskAccrued,6,tailoring,Have specific risks been identified associated with account balances for other accrued liabilities?,,,,
ALG,OL,AUD-809,OL_TQ_TAILORING_PayrollBalMaterial,1,tailoring,Are the payroll and related liabilities balances material to the overall financial statements?,,,,
